"Date","East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly","Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly","Gulf Coast (PADD 3) Refinery and Blender Net Input of Crude Oil, Monthly","Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly","West Coast (PADD 5) Refinery and Blender Net Input of Crude Oil, Monthly"
1981-01-01,"1470","3374","5752","431","2220"
1981-02-01,"1459","3188","5645","408","2203"
1981-03-01,"1399","2895","5501","391","2198"
1981-04-01,"1286","2782","5632","366","2025"
1981-05-01,"1140","2870","5774","403","2122"
1981-06-01,"1281","2808","5601","448","2276"
1981-07-01,"1289","2873","5500","454","2145"
1981-08-01,"1374","3062","5761","457","2254"
1981-09-01,"1293","3014","5561","441","2196"
1981-10-01,"1337","2860","5321","391","2149"
1981-11-01,"1375","2932","5292","463","2178"
1981-12-01,"1314","2977","5521","451","2087"
1982-01-01,"1273","2762","5147","412","2005"
1982-02-01,"1240","2730","4903","380","1984"
1982-03-01,"1201","2648","5065","384","1978"
1982-04-01,"1173","2668","5164","357","2030"
1982-05-01,"1092","2755","5525","378","2056"
1982-06-01,"1349","3001","5649","436","2060"
1982-07-01,"1291","3029","5643","446","2037"
1982-08-01,"1150","2837","5375","452","2056"
1982-09-01,"1171","2924","5522","442","2087"
1982-10-01,"1111","2621","5655","427","1935"
1982-11-01,"1181","2644","5488","428","1983"
1982-12-01,"1132","2716","5185","447","2035"
1983-01-01,"1055","2680","5025","400","1983"
1983-02-01,"967","2562","4727","360","2017"
1983-03-01,"894","2576","5140","366","1883"
1983-04-01,"1062","2721","5312","376","1964"
1983-05-01,"1076","2654","5497","424","2150"
1983-06-01,"1096","2830","5630","443","2284"
1983-07-01,"1121","2852","5628","464","2296"
1983-08-01,"1181","2950","5404","459","2158"
1983-09-01,"1174","2874","5868","454","2112"
1983-10-01,"988","2718","5547","442","2086"
1983-11-01,"907","2832","5714","438","2112"
1983-12-01,"923","2694","5060","408","2150"
1984-01-01,"1032","2652","5436","403","2064"
1984-02-01,"1057","2799","5791","403","2106"
1984-03-01,"1035","2817","5549","414","2113"
1984-04-01,"813","2697","5687","426","2267"
1984-05-01,"1130","2743","5618","456","2299"
1984-06-01,"1180","2974","5375","456","2271"
1984-07-01,"1158","2881","5357","461","2171"
1984-08-01,"1228","2865","5566","452","2235"
1984-09-01,"1169","2835","5547","442","2279"
1984-10-01,"1078","2478","5704","438","2280"
1984-11-01,"1181","2677","5599","439","2211"
1984-12-01,"1205","2721","5222","436","2171"
1985-01-01,"1079","2649","5142","420","2153"
1985-02-01,"1095","2536","5234","396","2105"
1985-03-01,"1106","2499","5160","402","2204"
1985-04-01,"1148","2647","5389","339","2282"
1985-05-01,"1152","2703","5519","471","2248"
1985-06-01,"1226","2882","5404","469","2310"
1985-07-01,"1196","2883","5542","460","2364"
1985-08-01,"1186","2924","5234","481","2222"
1985-09-01,"1107","2795","5267","454","2300"
1985-10-01,"1198","2745","5542","438","2286"
1985-11-01,"1144","2835","5722","428","2281"
1985-12-01,"1192","2756","5895","419","2308"
1986-01-01,"1128","2769","5693","409","2374"
1986-02-01,"1082","2612","5606","374","2243"
1986-03-01,"1092","2649","5216","377","2318"
1986-04-01,"1104","2720","5870","421","2398"
1986-05-01,"1283","2886","6223","450","2437"
1986-06-01,"1338","2932","6071","471","2449"
1986-07-01,"1290","2924","5807","473","2423"
1986-08-01,"1332","3001","6041","465","2447"
1986-09-01,"1311","2841","6063","444","2438"
1986-10-01,"1281","2771","5760","427","2397"
1986-11-01,"1203","2893","5935","432","2368"
1986-12-01,"1224","2851","5989","423","2291"
1987-01-01,"1099","2771","5925","419","2355"
1987-02-01,"1150","2723","5549","418","2450"
1987-03-01,"1113","2676","5551","361","2380"
1987-04-01,"1255","2866","5377","430","2583"
1987-05-01,"1272","2785","5612","431","2553"
1987-06-01,"1385","2889","5974","455","2499"
1987-07-01,"1354","2967","6072","476","2561"
1987-08-01,"1369","3000","5972","480","2558"
1987-09-01,"1274","2934","5933","461","2567"
1987-10-01,"1198","2811","5922","437","2365"
1987-11-01,"1223","2868","6032","438","2420"
1987-12-01,"1320","2829","6124","431","2508"
1988-01-01,"1314","2750","5938","421","2497"
1988-02-01,"1304","2786","5728","425","2401"
1988-03-01,"1256","2870","5979","406","2506"
1988-04-01,"1131","2887","6074","430","2612"
1988-05-01,"1249","2936","6149","483","2607"
1988-06-01,"1331","2988","6038","494","2635"
1988-07-01,"1405","3015","6078","488","2631"
1988-08-01,"1405","3100","6144","498","2605"
1988-09-01,"1363","2964","5818","470","2645"
1988-10-01,"1272","2845","6092","418","2499"
1988-11-01,"1232","2880","6018","442","2585"
1988-12-01,"1309","2968","6014","443","2647"
1989-01-01,"1309","2932","6071","431","2587"
1989-02-01,"1290","2920","5802","412","2340"
1989-03-01,"1236","2857","6007","413","2451"
1989-04-01,"1069","2727","6182","412","2566"
1989-05-01,"1044","2812","6388","475","2685"
1989-06-01,"1342","3035","6334","495","2700"
1989-07-01,"1350","3071","6237","490","2700"
1989-08-01,"1368","3103","6211","499","2679"
1989-09-01,"1391","3015","6260","494","2630"
1989-10-01,"1372","2645","6252","446","2645"
1989-11-01,"1332","2768","6248","468","2603"
1989-12-01,"1347","2960","5826","460","2572"
1990-01-01,"1404","2924","6007","441","2716"
1990-02-01,"1409","2969","6027","441","2641"
1990-03-01,"1289","2836","5667","423","2660"
1990-04-01,"1186","2909","5938","432","2585"
1990-05-01,"1255","3001","6191","490","2448"
1990-06-01,"1317","3166","6286","493","2426"
1990-07-01,"1441","3218","6448","498","2607"
1990-08-01,"1285","3222","6355","508","2771"
1990-09-01,"1420","3244","6182","489","2768"
1990-10-01,"1192","2906","5841","437","2450"
1990-11-01,"1139","2871","5949","436","2558"
1990-12-01,"1083","2878","5828","427","2492"
1991-01-01,"1158","2844","5836","405","2491"
1991-02-01,"1219","2945","5918","433","2531"
1991-03-01,"1242","2968","5795","454","2379"
1991-04-01,"1184","2980","5829","428","2620"
1991-05-01,"1273","3152","5971","461","2681"
1991-06-01,"1334","3191","6134","483","2777"
1991-07-01,"1332","3222","6065","486","2598"
1991-08-01,"1320","3113","6255","496","2617"
1991-09-01,"1341","3202","6066","461","2623"
1991-10-01,"1086","2999","5924","474","2414"
1991-11-01,"1161","2895","5929","457","2487"
1991-12-01,"1242","3063","6193","423","2544"
1992-01-01,"1173","3012","5812","410","2517"
1992-02-01,"1160","3038","5523","402","2363"
1992-03-01,"1165","2978","6053","446","2442"
1992-04-01,"1307","2917","6118","413","2505"
1992-05-01,"1314","3229","6145","432","2559"
1992-06-01,"1405","3226","6360","437","2632"
1992-07-01,"1349","3242","6248","471","2644"
1992-08-01,"1213","3253","5924","448","2589"
1992-09-01,"1296","3204","6183","455","2576"
1992-10-01,"1360","3108","6146","440","2530"
1992-11-01,"1299","3087","6232","428","2501"
1992-12-01,"1231","3017","6086","429","2430"
1993-01-01,"1239","3056","5944","413","2285"
1993-02-01,"1115","3008","5988","406","2348"
1993-03-01,"1127","3071","6036","439","2527"
1993-04-01,"1402","3015","6152","398","2571"
1993-05-01,"1441","3144","6169","454","2620"
1993-06-01,"1467","3305","6278","478","2602"
1993-07-01,"1442","3241","6327","467","2659"
1993-08-01,"1367","3173","6232","472","2600"
1993-09-01,"1438","3167","6148","479","2609"
1993-10-01,"1507","3196","6070","452","2504"
1993-11-01,"1419","3200","6121","459","2486"
1993-12-01,"1305","3085","6212","446","2523"
1994-01-01,"1252","3000","6085","448","2502"
1994-02-01,"1376","3100","5927","445","2282"
1994-03-01,"1195","2974","6009","414","2393"
1994-04-01,"1263","3256","6396","430","2464"
1994-05-01,"1422","3277","6568","469","2537"
1994-06-01,"1470","3309","6491","486","2595"
1994-07-01,"1434","3246","6523","478","2662"
1994-08-01,"1416","3261","6679","470","2665"
1994-09-01,"1373","3257","6587","481","2537"
1994-10-01,"1355","2999","6168","454","2552"
1994-11-01,"1475","3135","6343","451","2564"
1994-12-01,"1352","3138","6445","452","2563"
1995-01-01,"1344","3203","6206","452","2400"
1995-02-01,"1459","3026","6083","444","2353"
1995-03-01,"1507","2903","6297","454","2319"
1995-04-01,"1430","3151","6417","430","2390"
1995-05-01,"1454","3173","6532","478","2666"
1995-06-01,"1539","3310","6648","494","2561"
1995-07-01,"1574","3287","6480","491","2571"
1995-08-01,"1586","3271","6339","476","2605"
1995-09-01,"1555","3330","6563","453","2501"
1995-10-01,"1399","3094","6248","422","2435"
1995-11-01,"1475","3113","6416","466","2364"
1995-12-01,"1420","3138","6512","431","2510"
1996-01-01,"1367","3095","6355","438","2473"
1996-02-01,"1248","3057","6329","426","2504"
1996-03-01,"1223","3160","6450","451","2510"
1996-04-01,"1319","3242","6802","458","2474"
1996-05-01,"1360","3298","6798","467","2515"
1996-06-01,"1318","3393","6838","496","2523"
1996-07-01,"1350","3359","6685","495","2468"
1996-08-01,"1385","3378","6694","494","2473"
1996-09-01,"1418","3316","6670","499","2581"
1996-10-01,"1326","3242","6664","477","2566"
1996-11-01,"1313","3289","6675","473","2454"
1996-12-01,"1336","3214","6732","455","2449"
1997-01-01,"1224","3212","6451","467","2310"
1997-02-01,"1345","3245","6183","458","2254"
1997-03-01,"1349","3096","6679","443","2479"
1997-04-01,"1406","3113","6796","427","2561"
1997-05-01,"1568","3470","6991","483","2611"
1997-06-01,"1574","3517","7008","503","2568"
1997-07-01,"1565","3426","6886","508","2609"
1997-08-01,"1574","3526","7017","505","2649"
1997-09-01,"1626","3513","7114","503","2552"
1997-10-01,"1604","3372","6902","492","2484"
1997-11-01,"1495","3323","6995","468","2423"
1997-12-01,"1459","3379","7068","487","2534"
1998-01-01,"1511","3387","6546","483","2393"
1998-02-01,"1553","3360","6309","481","2320"
1998-03-01,"1568","3225","6928","429","2489"
1998-04-01,"1628","3323","7168","446","2521"
1998-05-01,"1618","3436","7194","470","2603"
1998-06-01,"1630","3516","7270","513","2556"
1998-07-01,"1616","3519","7367","490","2562"
1998-08-01,"1636","3489","7455","510","2627"
1998-09-01,"1561","3267","6858","505","2661"
1998-10-01,"1305","3269","6413","489","2518"
1998-11-01,"1671","3342","6829","472","2458"
1998-12-01,"1541","3320","7094","470","2416"
1999-01-01,"1585","3248","6735","477","2397"
1999-02-01,"1529","3241","6789","480","2271"
1999-03-01,"1474","3083","7111","457","2373"
1999-04-01,"1555","3382","7255","453","2448"
1999-05-01,"1611","3478","7109","500","2275"
1999-06-01,"1577","3485","7058","521","2318"
1999-07-01,"1586","3470","7102","531","2548"
1999-08-01,"1645","3526","7051","538","2539"
1999-09-01,"1549","3355","7175","524","2505"
1999-10-01,"1522","3295","6874","513","2386"
1999-11-01,"1488","3272","6973","495","2476"
1999-12-01,"1450","3129","6899","489","2444"
2000-01-01,"1309","3132","6527","500","2311"
2000-02-01,"1551","3103","6663","489","2223"
2000-03-01,"1635","3160","6971","462","2384"
2000-04-01,"1602","3405","7061","473","2511"
2000-05-01,"1599","3547","7284","512","2552"
2000-06-01,"1613","3637","7270","532","2591"
2000-07-01,"1650","3556","7436","538","2639"
2000-08-01,"1680","3474","7344","533","2609"
2000-09-01,"1555","3483","7280","513","2577"
2000-10-01,"1568","3311","7204","515","2432"
2000-11-01,"1582","3336","7232","499","2374"
2000-12-01,"1515","3330","7368","490","2530"
2001-01-01,"1553","3388","7051","488","2309"
