var,date,value,name,Description,Source,id,var0
A229RC0,01-01-1991,17474,income,Per capita disposable income,U.S. Bureau of Economic Analysis,1,100
A229RC0,01-02-1991,17490,income,Per capita disposable income,U.S. Bureau of Economic Analysis,2,100.0915646
A229RC0,01-03-1991,17503,income,Per capita disposable income,U.S. Bureau of Economic Analysis,3,100.1659609
A229RC0,01-04-1991,17585,income,Per capita disposable income,U.S. Bureau of Economic Analysis,4,100.6352295
A229RC0,01-05-1991,17641,income,Per capita disposable income,U.S. Bureau of Economic Analysis,5,100.9557056
A229RC0,01-06-1991,17742,income,Per capita disposable income,U.S. Bureau of Economic Analysis,6,101.5337072
A229RC0,01-07-1991,17715,income,Per capita disposable income,U.S. Bureau of Economic Analysis,7,101.3791919
A229RC0,01-08-1991,17776,income,Per capita disposable income,U.S. Bureau of Economic Analysis,8,101.728282
A229RC0,01-09-1991,17864,income,Per capita disposable income,U.S. Bureau of Economic Analysis,9,102.2318874
A229RC0,01-10-1991,17904,income,Per capita disposable income,U.S. Bureau of Economic Analysis,10,102.4607989
A229RC0,01-11-1991,17954,income,Per capita disposable income,U.S. Bureau of Economic Analysis,11,102.7469383
A229RC0,01-12-1991,18146,income,Per capita disposable income,U.S. Bureau of Economic Analysis,12,103.8457136
A229RC0,01-01-1992,18334,income,Per capita disposable income,U.S. Bureau of Economic Analysis,13,104.9215978
A229RC0,01-02-1992,18447,income,Per capita disposable income,U.S. Bureau of Economic Analysis,14,105.5682729
A229RC0,01-03-1992,18492,income,Per capita disposable income,U.S. Bureau of Economic Analysis,15,105.8257983
A229RC0,01-04-1992,18576,income,Per capita disposable income,U.S. Bureau of Economic Analysis,16,106.3065125
A229RC0,01-05-1992,18668,income,Per capita disposable income,U.S. Bureau of Economic Analysis,17,106.833009
A229RC0,01-06-1992,18759,income,Per capita disposable income,U.S. Bureau of Economic Analysis,18,107.3537828
A229RC0,01-07-1992,18785,income,Per capita disposable income,U.S. Bureau of Economic Analysis,19,107.5025753
A229RC0,01-08-1992,18854,income,Per capita disposable income,U.S. Bureau of Economic Analysis,20,107.8974476
A229RC0,01-09-1992,18775,income,Per capita disposable income,U.S. Bureau of Economic Analysis,21,107.4453474
A229RC0,01-10-1992,18699,income,Per capita disposable income,U.S. Bureau of Economic Analysis,22,107.0104155
A229RC0,01-11-1992,18744,income,Per capita disposable income,U.S. Bureau of Economic Analysis,23,107.2679409
A229RC0,01-12-1992,19426,income,Per capita disposable income,U.S. Bureau of Economic Analysis,24,111.1708825
A229RC0,01-01-1993,19030,income,Per capita disposable income,U.S. Bureau of Economic Analysis,25,108.9046583
A229RC0,01-02-1993,19131,income,Per capita disposable income,U.S. Bureau of Economic Analysis,26,109.48266
A229RC0,01-03-1993,19093,income,Per capita disposable income,U.S. Bureau of Economic Analysis,27,109.265194
A229RC0,01-04-1993,19223,income,Per capita disposable income,U.S. Bureau of Economic Analysis,28,110.0091565
A229RC0,01-05-1993,19234,income,Per capita disposable income,U.S. Bureau of Economic Analysis,29,110.0721071
A229RC0,01-06-1993,19184,income,Per capita disposable income,U.S. Bureau of Economic Analysis,30,109.7859677
A229RC0,01-07-1993,19241,income,Per capita disposable income,U.S. Bureau of Economic Analysis,31,110.1121666
A229RC0,01-08-1993,19279,income,Per capita disposable income,U.S. Bureau of Economic Analysis,32,110.3296326
A229RC0,01-09-1993,19225,income,Per capita disposable income,U.S. Bureau of Economic Analysis,33,110.020602
A229RC0,01-10-1993,19171,income,Per capita disposable income,U.S. Bureau of Economic Analysis,34,109.7115715
A229RC0,01-11-1993,19241,income,Per capita disposable income,U.S. Bureau of Economic Analysis,35,110.1121666
A229RC0,01-12-1993,19883,income,Per capita disposable income,U.S. Bureau of Economic Analysis,36,113.7861966
A229RC0,01-01-1994,19500,income,Per capita disposable income,U.S. Bureau of Economic Analysis,37,111.5943688
A229RC0,01-02-1994,19567,income,Per capita disposable income,U.S. Bureau of Economic Analysis,38,111.9777956
A229RC0,01-03-1994,19666,income,Per capita disposable income,U.S. Bureau of Economic Analysis,39,112.5443516
A229RC0,01-04-1994,19671,income,Per capita disposable income,U.S. Bureau of Economic Analysis,40,112.5729655
A229RC0,01-05-1994,19907,income,Per capita disposable income,U.S. Bureau of Economic Analysis,41,113.9235436
A229RC0,01-06-1994,19903,income,Per capita disposable income,U.S. Bureau of Economic Analysis,42,113.9006524
A229RC0,01-07-1994,19960,income,Per capita disposable income,U.S. Bureau of Economic Analysis,43,114.2268513
