Date,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly","Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly","Gulf Coast (PADD 3) Refinery and Blender Net Input of Crude Oil, Monthly","Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly","West Coast (PADD 5) Refinery and Blender Net Input of Crude Oil, Monthly"
01-01-1981,1470,3374,5752,431,2220
01-02-1981,1459,3188,,408,2203
01-03-1981,1399,2895,5501,391,2198
01-04-1981,1286,2782,5632,366,2025
01-05-1981,1140,,,403,2122
01-06-1981,1281,2808,5601,448,2276
01-07-1981,1289,,5500,454,2145
01-08-1981,1374,3062,5761,457,2254
01-09-1981,,,5561,441,2196
01-10-1981,1337,2860,5321,391,2149
01-11-1981,1375,,,463,2178
01-12-1981,,2977,5521,451,2087
01-01-1982,1273,,5147,412,2005
01-02-1982,1240,2730,,380,1984
01-03-1982,,2648,5065,384,1978
01-04-1982,1173,,5164,357,2030
01-05-1982,1092,2755,5525,378,2056
01-06-1982,,3001,,436,2060
01-07-1982,1291,,5643,446,2037
01-08-1982,,2837,5375,452,2056
01-09-1982,1171,,,442,2087
01-10-1982,,2621,5655,427,1935
01-11-1982,1181,,5488,,1983
01-12-1982,,2716,5185,447,2035
01-01-1983,1055,2680,,400,1983
01-02-1983,967,,4727,,2017
01-03-1983,,2576,5140,366,1883
01-04-1983,1062,2721,,376,1964
01-05-1983,1076,,5497,,2150
01-06-1983,1096,2830,5630,443,2284
01-07-1983,1121,2852,5628,464,2296
01-08-1983,1181,2950,5404,459,2158
01-09-1983,1174,,5868,,2112
01-10-1983,988,,5547,442,2086
01-11-1983,907,,5714,438,
01-12-1983,,,,,2150
01-01-1984,1032,2652,5436,403,2064
01-02-1984,1057,2799,5791,403,
01-03-1984,1035,,5549,414,2113
01-04-1984,,2697,,426,2267
01-05-1984,1130,,5618,456,2299
01-06-1984,1180,2974,5375,456,
01-07-1984,,,5357,,2171
01-08-1984,1228,2865,5566,452,2235
01-09-1984,,,5547,,2279
01-10-1984,1078,,5704,438,2280
01-11-1984,,2677,,,
01-12-1984,1205,2721,5222,436,2171
01-01-1985,1079,,5142,420,
01-02-1985,1095,2536,5234,396,2105
01-03-1985,1106,,5160,402,2204
01-04-1985,1148,2647,5389,339,2282
01-05-1985,,,,,2248
01-06-1985,1226,2882,5404,469,2310
01-07-1985,1196,2883,5542,460,
01-08-1985,,,5234,481,2222
01-09-1985,1107,2795,5267,454,2300
01-10-1985,,2745,5542,438,
01-11-1985,1144,,,428,2281
01-12-1985,1192,2756,5895,419,2308
01-01-1986,,2769,5693,,2374
01-02-1986,1082,2612,,374,
01-03-1986,1092,,5216,,2318
01-04-1986,1104,2720,5870,421,2398
01-05-1986,1283,2886,6223,,
01-06-1986,,2932,,471,2449
01-07-1986,1290,,5807,473,
01-08-1986,1332,3001,6041,465,2447
01-09-1986,,2841,,444,2438
01-10-1986,1281,,5760,427,
01-11-1986,,2893,,432,2368
01-12-1986,1224,,5989,423,2291
01-01-1987,1099,,5925,419,2355
01-02-1987,,2723,,418,2450
01-03-1987,1113,,5551,,
01-04-1987,,,,430,
01-05-1987,1272,,5612,,
01-06-1987,1385,,5974,455,2499
01-07-1987,,2967,6072,,2561
01-08-1987,1369,,,480,
01-09-1987,1274,2934,5933,461,2567
01-10-1987,,,5922,,2365
01-11-1987,1223,,,438,2420
01-12-1987,,2829,6124,431,
01-01-1988,,,5938,,
01-02-1988,1304,,5728,425,2401
01-03-1988,,2870,5979,,
01-04-1988,1131,2887,,430,2612
01-05-1988,1249,,6149,483,2607
01-06-1988,,2988,,,2635
01-07-1988,1405,,6078,488,
01-08-1988,,,6144,498,2605
01-09-1988,1363,,5818,,
